ID,group_id1,group_id2,ideology1,ideology2,ideological_label,income,Q1_immigration,Q2_defence,treatment,proposition_vote,log_income
00001,5,3,-0.348114948654382,-0.311138712859245,Conservative,24284.7056330135,3,7,0,1,10.0976020333563
00002,10,2,1.88883078923756,2.05392483024127,Very Liberal,8239.5257033138,3,6,1,1,9.01669806096941
00003,2,6,1.01624737132926,0.124765295346462,Very Liberal,36207.6947789275,5,9,0,1,10.4970269381794
00004,9,3,-1.15448653078783,-0.773369545858648,Very Conservative,67850.6711858285,5,8,0,0,11.125064557415
00005,6,2,-1.68984382310895,-0.62581471988155,Very Conservative,846860.334778941,5,6,0,0,13.6492910660341
00006,1,8,0.644348505152171,-0.0632815535516223,Liberal,318881.994262264,9,1,1,1,12.6725763893855
00007,5,8,-2.31576757276435,-0.167065773488686,Very Conservative,579064.751281666,9,4,0,0,13.2691695832585
00008,9,9,1.56066857621168,-0.882947780509751,Very Liberal,7486.68317150646,10,10,0,0,8.92088114418643
00009,4,3,-1.57682422470484,1.51841670466799,Very Conservative,766115.940435934,3,8,1,0,13.5490887955407
00010,6,3,-1.45015025056678,-1.69526049274377,Very Conservative,2058047.17718926,9,9,0,0,14.5372681189177
00011,1,2,-0.177816255991243,0.235485622120666,Conservative,80695.9990635251,8,9,0,0,11.2984442751297
00012,5,3,-0.168447065073324,-0.777625232381249,Conservative,61141.0978981921,2,3,1,1,11.0209395524016
00013,5,4,1.37262728263551,0.0769216291660783,Very Liberal,4616.54533335967,9,8,1,1,8.43740194101927
00014,7,6,0.681719808962663,-1.24882433045654,Liberal,316571.164255371,2,6,0,0,12.6653033428603
00015,2,9,-0.614449144930642,0.644297940537691,Conservative,60599.0799895543,7,6,0,1,11.0120349902516
00016,9,9,0.638103654867331,1.46272568811833,Liberal,8912.88721550814,2,8,1,1,9.09525351011911
00017,10,2,-2.92544735842347,-1.58818189519757,Very Conservative,1466043.30149117,7,9,1,0,14.1980776981625
00018,10,6,-1.25133633762802,-1.70065882245335,Very Conservative,747159.508245277,4,1,0,0,13.5240339731078
00019,5,10,-0.1857548941487,0.669746250407396,Conservative,7946.84379165811,5,8,0,0,8.9805301214815
00020,5,2,0.90550309490433,1.85688641760057,Liberal,115317.791697362,10,9,1,1,11.6554470022225
00021,3,5,-0.130285299128303,-1.18712895928069,Conservative,106404.077539895,4,6,0,0,11.5749991778988
00022,2,2,-0.427476034194516,0.0513711670139218,Conservative,270550.810838731,4,2,1,0,12.5082152000678
00023,4,6,-0.747970875949194,1.57092982032254,Conservative,1500620.15632241,2,9,1,1,14.221389018179
00024,2,9,-0.352787915599088,-0.457738451682933,Conservative,179060.856515691,2,3,1,0,12.0954810075772
00025,10,1,1.51363920333676,-1.52587460241557,Very Liberal,5123.87995260042,2,5,1,0,8.54166723428793
00026,3,8,-1.09006902667451,-1.17912861802783,Very Conservative,138137.365051076,10,10,1,0,11.8360038679792
00027,8,7,0.453133468174296,-0.948512729754268,Liberal,39120.5539370656,8,10,1,1,10.5744032839939
00028,5,2,0.0825380692221398,0.791211189620197,Liberal,37899.1569439,2,4,0,1,10.5426841465988
00029,5,8,0.737817172075535,1.06140137836917,Liberal,27080.4927622543,4,2,0,1,10.2065689233989
00030,6,1,-0.720765760153764,1.1104042025938,Conservative,56886.5561290348,9,1,0,0,10.9488143203004
00031,2,8,-0.871709655617288,0.201758307173823,Conservative,2194259.31850115,6,3,1,1,14.6013551072272
00032,10,10,-0.541293395562452,2.17667544404185,Conservative,460882.711927846,2,1,1,1,13.0408988686275
00033,10,10,-0.49121938033844,-0.93221503149759,Conservative,1147414.74984096,4,7,1,0,13.9530219260795
00034,9,5,0.537105414484179,-2.14611162691376,Liberal,28668.5659953731,4,9,0,0,10.2635565400253
00035,1,9,0.682541696979827,-0.326776691127688,Liberal,42653.6859792077,4,7,0,1,10.6608689730825
00036,1,2,-0.0731423194405472,0.363977562099166,Conservative,22467.8499723051,7,5,0,1,10.0198406762357
00037,7,8,0.0989275012213921,0.300234886793681,Liberal,8264.51541379769,9,6,1,1,9.0197263774168
00038,1,10,1.3380897377053,-0.054727990369563,Very Liberal,1648.72761429377,4,2,0,1,7.40775912655877
00039,6,1,-0.567157683394095,0.0918288768684897,Conservative,3721.31802048307,1,3,1,0,8.22183319109691
00040,2,8,-1.81517360543018,-2.06295778380795,Very Conservative,231957.110697791,8,4,0,0,12.3543077658764
00041,7,1,-1.10859052368093,1.09158748151955,Very Conservative,69949.7172728897,5,4,1,1,11.1555319382397
00042,3,9,-0.193365056430418,0.398073221776151,Conservative,113017.472587801,2,10,0,0,11.6352977104121
00043,1,4,0.787877321932269,0.5316890389591,Liberal,21698.3510997957,7,4,1,1,9.98499155045692
00044,1,4,1.26455122099521,1.69070605583935,Very Liberal,24368.1713279223,1,10,0,1,10.1010331059672
00045,8,2,-1.34671889421522,-0.311273234491722,Very Conservative,2982320.29445236,5,2,0,0,14.9082121778119
00046,1,1,-1.51806249760503,0.498696339602997,Very Conservative,9396632.12765702,1,5,0,0,16.0558618987493
00047,4,6,-1.76915807346522,-1.03299955834434,Very Conservative,296273.975690406,1,8,1,0,12.5990398987573
00048,7,2,2.05308499788833,-3.29989426299586,Very Liberal,10210.6929708672,3,4,0,0,9.23119078063488
00049,8,6,-0.961762462611284,-1.13012991550936,Conservative,368759.955007948,1,5,0,0,12.8179011829035
00050,2,1,1.70817021642646,-1.04976317613802,Very Liberal,8001.14250444716,1,9,0,1,8.98733962352105
00051,1,5,1.8187980289269,-0.651635779278347,Very Liberal,31735.6858309222,8,3,1,1,10.365197062691
00052,1,5,1.53951538788075,1.84949322096113,Very Liberal,49222.2956545085,3,1,0,1,10.8041019635423
00053,3,2,0.956356248075101,0.128194298752132,Liberal,40483.033500246,10,1,0,1,10.6086382394008
00054,9,10,-1.03427601040749,1.0395909092365,Very Conservative,154447.657340424,10,1,1,1,11.9476105304779
00055,4,4,-0.623811879018103,0.553377497979772,Conservative,159560.848698627,5,7,0,0,11.9801806249988
00056,9,9,0.212660290800068,3.56935522680508,Liberal,127249.914711827,2,9,1,1,11.7539082641715
00057,5,3,0.999970199295307,-1.56916422846861,Liberal,100556.843320922,4,10,1,0,11.5184784517702
00058,8,3,-1.04023806163693,-0.306967337896033,Very Conservative,228830.672222659,3,6,0,0,12.3407375864202
00059,10,10,-2.52408507874602,-0.0134940762081992,Very Conservative,346333.658040185,8,6,1,0,12.7551579189687
00060,5,4,-1.09826693879553,1.39203261129008,Very Conservative,58749.66454322,6,8,0,1,10.9810407220875
00061,8,9,0.544219422584623,-1.551008887706,Liberal,153076.871699637,4,5,1,0,11.9386955036086
00062,8,10,-0.819555933495654,1.49041018079093,Conservative,1254468.84176966,5,7,1,1,14.0422228073097
00063,9,1,0.652018835075695,-0.599190397733789,Liberal,6959.46108846326,1,4,1,1,8.84785732051213
00064,9,5,0.347523094872638,-0.0466413422473749,Liberal,16204.0949822132,2,9,0,1,9.69301926595766
00065,6,5,-1.7768259435155,0.801987948361482,Very Conservative,826165.169478671,10,4,1,1,13.6245499955624
00066,3,1,-0.770917386865212,0.502630034472486,Conservative,537478.881659176,8,5,0,1,13.1946447482757
